AUS,AUSTRALIA	
BLZ,BELIZE	
BRA,BRAZIL	
BGR,BULGARIA	
CAN,CANADA	
CHL,CHILE	
CHN,CHINA	
COL,COLOMBIA	
COL,COLOMBIA	
ENGL,ENGLAND	
EST,ESTONIA	
FRA,FRANCE	
DEU,GERMANY	
HTI,HAITI	
HKG,HONG KONG	
IND,INDIA	
ISR,ISRAEL	
JPN,JAPAN	
KEN,KENYA	
KOR,KOREA	
MEX,MEXICO	
NZL,NEW ZEALAND	
PAK,PAKISTAN	
PAN,PANAMA	
PRI,PUERTO RICO	
QAT,QATAR	
QAT,QUTAR
SGP,SINGAPORE	
SVK,SLOVAKIA	
SVK,SLOVAK REPUBLIC
CHE,SWITZERLAND	
TWN,TAIWAN	
TWN,TAIWAN  R.O.C.	
THA,THAILAND	
NLD,THE NETHERLANDS	
NLD,NETHERLANDS
TUR,TURKEY	
USA,US	
VIR,US VIRGIN ISLAN
USA,USA	
VNM,VIETNAM	
